strain,sphericity,area,oblate,prolate,volume
V1,0.42415,5822.11,0.11068,0.10150,11539.40
V1,0.41190,6341.41,0.72905,0.02027,12552.90
V1,0.40033,5407.78,0.35219,0.02921,9471.62
V1,0.29601,9004.64,0.61106,0.00869,12939.60
V1,0.45943,3661.11,0.66432,0.03501,6486.76
V1,0.49668,3020.36,0.56199,0.05256,5463.52
V1,0.40911,5382.13,0.46752,0.02884,9715.56
V1,0.27571,10929.40,0.77527,0.01132,15553.80
V1,0.35647,7387.67,0.61093,0.01487,12707.90
V1,0.30892,8430.18,0.52674,0.01607,12496.80
V1,0.44064,4132.55,0.77504,0.02512,7306.89
V1,0.29278,13180.50,0.36394,0.02716,22540.90
V2,0.73598,1387.40,0.34566,0.38289,3068.13
V2,0.64382,1462.29,0.61231,0.14105,2716.22
V2,0.29494,11361.80,0.70075,0.00960,18241.20
V2,0.39093,5202.48,0.67142,0.02477,8624.62
V2,0.68586,1510.08,0.27757,0.36531,3134.23
V2,0.79561,885.90,0.59368,0.27241,1759.53
V2,0.44758,3010.39,0.11130,0.10841,4650.70
V2,0.42330,3406.28,0.63957,0.01927,5148.30
V2,0.35790,7157.35,0.84592,0.00997,12191.20
V2,0.45598,3791.35,0.68952,0.04581,6758.93
V2,0.23755,15273.50,0.86540,0.00532,20550.80
V2,0.57820,3871.83,0.42233,0.12127,9960.11
V2,0.35628,7161.56,0.76212,0.01347,12118.90
V2,0.28577,15748.90,0.69229,0.01792,28390.50
V2,0.75531,1514.82,0.80359,0.11638,3639.16
V2,0.76351,1599.97,0.75247,0.13659,4014.84
V2,0.67649,1921.37,0.63112,0.15740,4406.42
V2,0.38596,4776.24,0.53592,0.01815,7442.50
V2,0.51070,2812.86,0.57524,0.05321,5119.67
V2,0.41362,3896.85,0.61357,0.04476,6084.77
V3,0.35580,5020.85,0.27244,0.03989,7099.76
V3,0.39911,5525.62,0.91292,0.01610,9738.50
V3,0.38129,8426.58,0.61770,0.01481,17125.50
V3,0.27144,8964.90,0.71029,0.00768,11287.60
V3,0.30757,4115.47,0.43737,0.00933,4234.73
V4,0.43701,4405.27,0.36310,0.07564,7942.60
V4,0.33017,7773.02,0.66407,0.01353,12225.30
V4,0.28864,13215.90,0.79875,0.00730,22154.20
V4,0.45043,1974.24,0.15282,0.08791,2493.52
V4,0.32284,6526.04,0.78804,0.00823,9093.47
V4,0.45222,1981.28,0.20052,0.06215,2521.87
